Train/Valid/Test,HoV (kJ/mol),HoV_pred_lit,AE_lit,smiles,temperature,num_heavy_atoms,Error
Test,32.35,31.66,0.6900000000000013,CC(=O)C(C)C,367.55,6,0.01
Train,30.85,31.05,0.1999999999999993,CC1(C)COC1,353.7,6,0.01
Train,31.17,30.83,0.3400000000000034,C1CCOCC1,361.15,6,0.01
Train,44.1,47.52,3.4200000000000017,CCCCC(=O)O,458.95,7,0.01
Train,36.58,35.57,1.009999999999998,CCCCOC=O,379.25,7,0.01
Test,33.6,35.03,1.4299999999999997,CC(C)COC=O,371.22,7,0.01
Train,33.92,34.19,0.269999999999996,CCCOC(C)=O,374.65,7,0.01
Train,32.93,33.28,0.3500000000000014,CC(=O)OC(C)C,361.65,7,0.01
Test,33.88,33.95,0.07000000000000028,CCOC(=O)CC,372.25,7,0.01
Train,33.79,34.28,0.490000000000002,CCCC(=O)OC,375.9,7,0.01
Test,32.61,32.68,0.07000000000000028,COC(=O)C(C)C,365.45,7,0.01
Test,45.2,47.97,2.769999999999996,OCC1CCCO1,450.8,7,0.01
Train,43.9,39.68,4.219999999999999,COCCOC(C)=O,417.7,8,0.01
Train,25.79,25.34,0.4499999999999993,CCCCC,309.22,5,0.01
Train,24.69,24.72,0.029999999999997584,CCC(C)C,300.994,5,0.01
Train,22.74,23.11,0.370000000000001,CC(C)(C)C,282.65,5,0.01
Test,44.36,43.05,1.3100000000000023,CCCCCO,410.9,6,0.01
Train,41.4,41.25,0.14999999999999858,CCCC(C)O,392.2,6,0.01
Train,44.07,42.22,1.8500000000000014,CC(C)CCO,404.15,6,0.01
Test,39.04,39.94,0.8999999999999986,CCC(C)(C)O,375.2,6,0.01
Train,29.55,29.71,0.16000000000000014,CCCCOC,343.31,6,0.01
Train,28.09,28.23,0.14000000000000057,CCC(C)OC,332.15,6,0.01
Test,27.94,27.24,0.7000000000000028,COC(C)(C)C,328.2,6,0.01
Train,28.02,28.86,0.8399999999999999,COCC(C)C,331.7,6,0.01
Test,28.94,28.56,0.38000000000000256,CCCOCC,337.01,6,0.01
Train,28.21,27.4,0.8100000000000023,CCOC(C)C,326.15,6,0.01
Train,34.33,33.67,0.6599999999999966,CCOCCOC,376.65,7,0.01
Train,60.7,58.0,2.700000000000003,OCCCCCO,512.15,7,0.01
Test,41.4,46.14,4.740000000000002,CCCOCCO,424.5,7,0.01
Train,31.33,32.13,0.8000000000000043,CCOCOCC,360.65,7,0.01
Train,46.6,51.02,4.420000000000002,COCCOCCO,466.75,8,0.01
Train,30.72,32.55,1.8299999999999983,c1ccccc1,353.24,6,0.01
Train,45.69,45.73,0.03999999999999915,Oc1ccccc1,454.99,7,0.01
Train,30.46,31.4,0.9399999999999977,C1=CCCCC1,356.12,6,0.01
Test,36.1,37.02,0.9200000000000017,CC(=O)C=C(C)C,402.95,7,0.01
Train,37.13,37.42,0.28999999999999915,COC(=O)C1CCC1,408.15,8,0.01
Train,41.7,42.59,0.8900000000000006,CCC(=O)OC(=O)CC,440.15,9,0.01
Train,42.0,43.82,1.8200000000000003,CCOC(=O)C(=O)OCC,458.61,10,0.01
Train,29.64,29.13,0.5100000000000016,CC(C)=C(C)C,346.35,6,0.01
Train,29.97,30.17,0.20000000000000284,C1CCCCC1,353.87,6,0.01
Train,29.08,28.65,0.4299999999999997,CC1CCCC1,344.96,6,0.01
Test,28.67,29.47,0.7999999999999972,CCC1CCC1,343.75,6,0.01
Train,31.58,31.42,0.1599999999999966,C=COCCCC,366.97,7,0.01
Test,36.35,35.78,0.5700000000000003,CCCCC(C)=O,400.7,7,0.01
Train,35.36,35.13,0.22999999999999687,CCCC(=O)CC,396.65,7,0.01
Train,34.16,34.44,0.28000000000000114,CCC(C)C(C)=O,390.55,7,0.01
Train,34.49,34.85,0.35999999999999943,CC(=O)CC(C)C,389.15,7,0.01
Test,33.84,33.15,0.6900000000000048,CCC(=O)C(C)C,386.55,7,0.01
Train,33.39,32.52,0.8699999999999974,CC(=O)C(C)(C)C,379.45,7,0.01
Test,36.28,36.18,0.10000000000000142,CCCCOC(C)=O,399.26,8,0.01
Train,33.07,34.42,1.3500000000000014,CC(=O)OC(C)(C)C,369.15,8,0.01
Train,35.9,35.88,0.01999999999999602,CC(=O)OCC(C)C,389.8,8,0.01
Train,35.54,35.72,0.17999999999999972,CCCOC(=O)CC,395.65,8,0.01
Train,35.47,35.92,0.45000000000000284,CCCC(=O)OCC,394.65,8,0.01
Train,33.67,34.93,1.259999999999998,CCOC(=O)C(C)C,383.0,8,0.01
Train,35.36,36.13,0.7700000000000031,CCCCC(=O)OC,410.0,8,0.01
Train,33.42,32.92,0.5,COC(=O)C(C)(C)C,374.2,8,0.01
Train,40.76,41.18,0.4200000000000017,CCOCCOC(C)=O,429.74,9,0.01
Train,28.85,28.66,0.19000000000000128,CCCCCC,341.88,6,0.01
Train,27.79,27.48,0.3099999999999987,CCCC(C)C,333.41,6,0.01
Test,28.06,27.99,0.07000000000000028,CCC(C)CC,336.42,6,0.01
Train,26.31,26.62,0.3100000000000023,CCC(C)(C)C,322.88,6,0.01
Train,27.38,27.63,0.25,CC(C)C(C)C,331.13,6,0.01
Train,44.5,45.36,0.8599999999999994,CCCCCCO,429.9,7,0.01
Train,41.01,43.48,2.469999999999999,CCCCC(C)O,412.4,7,0.01
Train,50.2,44.57,5.630000000000003,CCCC(C)CO,421.15,7,0.01
Test,44.46,44.82,0.35999999999999943,CC(C)CCCO,424.95,7,0.01
Test,39.59,42.06,2.469999999999999,CCCC(C)(C)O,394.56,7,0.01
Test,44.2,42.94,1.2600000000000051,CC(C)CC(C)O,404.85,7,0.01
Train,43.2,44.92,1.7199999999999989,CCC(CC)CO,420.15,7,0.01
Train,31.31,31.41,0.10000000000000142,CCCOCCC,363.23,7,0.01
Train,29.1,28.76,0.33999999999999986,CC(C)OC(C)C,341.45,7,0.01
Train,31.63,31.35,0.2799999999999976,CCCCOCC,365.35,7,0.01
