,DDB index,molecule_1,molecule_2,molecule_3,molecule_4,x1 [mol/mol],x2 [mol/mol],x3 [mol/mol],x4 [mol/mol],T [K],p_cosmo,p_ddb,p_cosmo_plus1K,hov_cosmo,hov_baseline
8866,12433,CC(C)=O,CCCCO,---,---,0.763,0.237,0.0,0.0,334.75,99.10224042844304,99.46,102.46743986712217,31.20532392905351,31.007672815999996
8867,12434,CC(C)=O,CCCCO,---,---,0.819,0.181,0.0,0.0,333.15,98.91027675815052,99.46,102.29863566801002,31.176737584442584,29.877149738999996
8868,12435,CC(C)=O,CCCCO,---,---,0.897,0.1029999999999999,0.0,0.0,331.25,99.34364860492468,99.46,102.7816438234479,31.132464725814437,28.259662929999998
8873,12445,C=CC=C,C1CCCCC1,---,---,0.0,1.0,0.0,0.0,303.15,15.420673215416311,16.212,16.122127225200842,34.1021756717527,44.278492
8874,12450,C=CC=C,C1CCCCC1,---,---,0.92,0.0799999999999999,0.0,0.0,303.15,311.6439668690132,303.975,321.2177119487617,23.196246722558183,22.447388799999995
8875,12451,C=CC=C,C1CCCCC1,---,---,1.0,0.0,0.0,0.0,303.15,335.69714288835314,333.359,345.99481364929966,23.163031453690778,20.549032
8876,12452,CCOC(C)=O,C1CCCCC1,---,---,0.0,1.0,0.0,0.0,293.15,9.683107455918885,10.386,10.16206635574201,34.61406223125753,43.51772
8877,12453,CCOC(C)=O,C1CCCCC1,---,---,0.025,0.975,0.0,0.0,293.15,10.476486829605705,11.132,10.989155813530529,34.25315886977157,43.34757809999999
8878,12454,CCOC(C)=O,C1CCCCC1,---,---,0.05,0.95,0.0,0.0,293.15,11.08928562515933,11.666,11.6289726527647,34.070110828212826,43.177436199999995
8879,12455,CCOC(C)=O,C1CCCCC1,---,---,0.075,0.925,0.0,0.0,293.15,11.567281762684576,12.199,12.128759407462736,33.98308930223476,43.0072943
8880,12456,CCOC(C)=O,C1CCCCC1,---,---,0.144,0.856,0.0,0.0,293.15,12.427399034983203,12.959,13.030168245200318,33.95785286722234,42.53770265599999
8881,12457,CCOC(C)=O,C1CCCCC1,---,---,0.218,0.782,0.0,0.0,293.15,12.919240831860144,13.732,13.547362992195856,34.03708354825972,42.034082632
8882,12458,CCOC(C)=O,C1CCCCC1,---,---,0.274,0.726,0.0,0.0,293.15,13.135030509328804,13.919,13.774903146960847,34.10261388397742,41.652964776
8883,12459,CCOC(C)=O,C1CCCCC1,---,---,0.347,0.653,0.0,0.0,293.15,13.301132873776604,14.066,13.950481744419031,34.1737744422419,41.156150428
8884,12460,CCOC(C)=O,C1CCCCC1,---,---,0.406,0.594,0.0,0.0,293.15,13.371336028277302,14.132,14.024980810562417,34.21818186056328,40.754615543999996
8885,12461,CCOC(C)=O,C1CCCCC1,---,---,0.494,0.506,0.0,0.0,293.15,13.391595665486316,14.132,14.047260920277258,34.2707591834905,40.155716055999996
8886,12462,CCOC(C)=O,C1CCCCC1,---,---,0.575,0.425,0.0,0.0,293.15,13.317298472587291,14.052,13.970267468472697,34.31907396855976,39.604456299999995
8887,12463,CCOC(C)=O,C1CCCCC1,---,---,0.69,0.31,0.0,0.0,293.15,13.009926342708509,13.719,13.64984894627216,34.42542250728556,38.82180355999999
8888,12464,CCOC(C)=O,C1CCCCC1,---,---,0.787,0.2129999999999999,0.0,0.0,293.15,12.488898298092144,12.946,13.106317918627267,34.59638865693363,38.16165298799999
8889,12465,CCOC(C)=O,C1CCCCC1,---,---,0.887,0.1129999999999999,0.0,0.0,293.15,11.597645796431763,12.026,12.176490819102998,34.919520684657,37.48108538799999
8890,12466,CCOC(C)=O,C1CCCCC1,---,---,0.948,0.052,0.0,0.0,293.15,10.829620148946546,10.986,11.375132809314314,35.23474799002387,37.065939152
8891,12467,CCOC(C)=O,C1CCCCC1,---,---,1.0,0.0,0.0,0.0,293.15,10.01755118836634,9.786,10.527672210366733,35.61037174288327,36.712044
8905,12486,CC(C)=O,CCO,---,---,0.0,1.0,0.0,0.0,351.45,101.13207045531354,101.33,105.05676627609247,39.212136740459975,35.145355
8906,12487,CC(C)=O,CCO,---,---,0.033,0.967,0.0,0.0,349.55,99.72193777366132,101.33,103.55154311749344,38.39282747322022,34.945230619
8907,12488,CC(C)=O,CCO,---,---,0.078,0.922,0.0,0.0,347.15,98.03812008921402,101.33,101.75854822032332,37.42868627977073,34.654792484000005
8908,12489,CC(C)=O,CCO,---,---,0.149,0.851,0.0,0.0,343.95,96.43892413157434,101.33,100.04402159565186,36.20416112472369,34.146211987
8909,12490,CC(C)=O,CCO,---,---,0.195,0.8049999999999999,0.0,0.0,342.25,96.06950250468157,101.33,99.63207207865636,35.56617417236976,33.785580249999995
