smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
CCOC(=O)C(CC)C(=O)OCC,1.599,0.268,0.44,0.05,663.2,5.8,0,23,0.01,0.75,2.95,1.553,0.45,664.0,0.67
CCOC(=O)C(CC)C(C)=O,1.609,0.225,0.43,0.04,645.2,4.7,0,22,0.008,0.8,2.73,1.553,0.44,648.0,0.63
CCOC(=O)C(CC)CC,1.593,0.223,0.41,0.04,596.8,6.1,0,19,0.019,0.39,2.2,1.526,0.42,601.0,0.3
CCOC(=O)C(CC)c1ccccc1,1.437,0.087,0.46,0.02,702.3,1.0,0,25,0.011,0.34,1.02,1.419,0.46,703.0,0.29
CCOC(=O)C(Cc1ccccc1)(Cc1ccccc1)C(=O)OCC,1.409,0.437,0.52,0.08,839.2,10.3,0,13,0.013,0.84,4.01,1.345,0.53,845.0,0.7
CCOC(=O)C1(C(=O)OCC)CC1,1.759,0.176,0.41,0.03,669.6,5.0,0,23,0.008,0.48,2.46,1.731,0.41,670.2,0.47
CCOC(=O)C1(C(=O)OCC)CCC1,1.636,0.151,0.43,0.03,678.3,4.0,0,23,0.015,0.95,2.12,1.672,0.42,680.0,0.98
CCOC(=O)C1(C(=O)OCC)CCCC1,1.785,0.171,0.4,0.03,702.6,4.0,0,25,0.009,0.62,2.55,1.702,0.42,704.3,0.57
CCOC(=O)C1=C(OC)CCC1,1.442,0.236,0.47,0.04,676.8,5.3,0,23,0.01,0.69,3.07,1.4,0.48,680.0,0.6
CCOC(=O)C1CC1,1.812,0.662,0.35,0.1,589.4,33.4,0,19,0.014,1.44,2.11,2.048,0.32,584.0,1.63
CCOC(=O)C1CC2C=CC1C2,1.506,0.22,0.42,0.04,683.5,4.4,0,24,0.019,0.33,2.33,1.447,0.43,685.0,0.2
CCOC(=O)C1CCC1,1.834,0.214,0.35,0.04,616.5,6.4,0,20,0.014,0.5,1.83,1.863,0.34,620.0,0.53
CCOC(=O)C1CCC=C1OC,1.413,0.26,0.46,0.05,666.9,4.7,0,23,0.009,0.49,2.84,1.41,0.46,668.0,0.48
CCOC(=O)C1CCCC1,1.843,0.176,0.36,0.03,632.4,3.8,0,21,0.011,0.8,2.06,1.738,0.38,634.0,0.69
CCOC(=O)C1CCCCC1,1.651,0.184,0.4,0.03,666.0,4.2,0,23,0.01,0.55,2.25,1.59,0.41,669.0,0.42
CCOC(=O)C=C(C)O,1.559,0.246,0.45,0.05,665.6,6.3,0,23,0.01,0.76,2.98,1.564,0.45,668.0,0.7
CCOC(=O)C=C(CC(=O)OCC)C(=O)OCC,1.885,0.203,0.44,0.04,735.4,3.9,0,26,0.013,1.77,3.99,1.881,0.44,737.0,1.66
CCOC(=O)CC,1.336,0.048,0.42,0.01,546.3,0.9,0,20,0.011,0.16,0.4,1.352,0.42,546.7,0.16
CCOC(=O)CC(=O)OCC,1.662,0.186,0.42,0.03,651.8,5.3,0,23,0.013,0.81,1.77,1.632,0.43,653.6,0.8
CCOC(=O)CC(=O)c1ccccc1,1.628,0.286,0.45,0.05,764.3,5.4,0,12,0.013,1.0,3.07,1.617,0.45,767.0,0.93
CCOC(=O)CC(C)(C)C,1.639,0.209,0.39,0.04,591.0,6.0,0,19,0.015,0.41,2.08,1.491,0.41,595.0,0.2
CCOC(=O)CC(C)=O,1.711,0.16,0.39,0.03,645.4,3.6,0,22,0.022,0.58,1.9,1.608,0.41,647.5,0.58
CCOC(=O)CC(C)C,1.554,0.274,0.4,0.05,579.9,7.0,0,18,0.011,0.52,2.05,1.556,0.4,583.5,0.44
CCOC(=O)CC(C)C(C)C,1.612,0.234,0.41,0.04,612.7,6.0,0,20,0.008,0.51,2.43,1.54,0.42,616.0,0.4
CCOC(=O)CC(C)CC,1.568,0.252,0.41,0.05,597.1,6.0,0,19,0.018,0.39,2.2,1.516,0.42,601.0,0.29
CCOC(=O)CC(C)CC(C)(C)C,1.477,0.212,0.44,0.04,632.2,5.0,0,21,0.014,0.48,2.56,1.392,0.46,635.0,0.34
CCOC(=O)CC(C)O,1.752,0.231,0.4,0.04,623.9,6.1,0,21,0.012,0.66,2.65,1.651,0.42,626.0,0.45
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.883,0.191,0.41,0.03,751.3,5.3,0,27,0.012,1.17,3.37,1.821,0.42,755.0,1.07
CCOC(=O)CCC(=O)OC,1.553,0.277,0.44,0.05,663.1,7.3,0,23,0.012,0.64,2.86,1.606,0.43,664.0,0.67
CCOC(=O)CCC(=O)OCC,1.597,0.117,0.44,0.02,662.5,2.0,0,23,0.01,0.79,1.27,1.613,0.43,663.2,0.77
CCOC(=O)CCC(C)CC,1.566,0.238,0.42,0.05,629.2,4.8,0,21,0.011,0.52,2.49,1.516,0.43,632.0,0.4
CCOC(=O)CCC(C)CCCC(C)C,1.439,0.256,0.48,0.05,672.6,6.7,0,23,0.012,0.68,3.12,1.41,0.48,676.0,0.62
CCOC(=O)CCCC(=O)OCC,1.697,0.178,0.43,0.03,687.2,3.4,0,24,0.01,1.03,2.2,1.656,0.43,689.0,0.96
CCOC(=O)CCCCC(=O)O,1.655,0.207,0.46,0.04,717.2,5.3,0,25,0.014,1.2,3.44,1.604,0.47,720.0,1.12
CCOC(=O)CCCCC(=O)OCC,1.633,0.164,0.45,0.03,683.6,2.6,0,24,0.012,0.64,2.22,1.648,0.45,685.0,0.6
CCOC(=O)CCCCCC(=O)OCC,1.618,0.24,0.46,0.04,692.1,5.3,0,24,0.012,1.07,3.4,1.599,0.47,694.0,1.03
CCOC(=O)CCCCCC(C)C,1.445,0.224,0.47,0.04,657.6,5.1,0,22,0.012,0.54,2.63,1.407,0.47,660.0,0.45
CCOC(=O)CCCCCCC(=O)OCC,1.568,0.37,0.48,0.06,707.4,9.9,0,25,0.011,1.24,3.7,1.576,0.48,707.0,1.12
CCOC(=O)CCCCCCCC(=O)OCC,1.545,0.232,0.49,0.04,717.5,3.9,0,25,0.011,1.21,3.76,1.603,0.48,719.0,1.21
CCOC(=O)CCCCCCCCC(=O)OCC,2.039,0.193,0.44,0.04,727.2,4.4,0,26,0.014,2.35,4.55,1.992,0.44,728.3,2.41
CCOC(=O)CCO,1.598,0.206,0.37,0.04,624.3,6.1,0,21,0.017,0.23,1.86,1.487,0.38,628.1,0.08
CCOC(=O)CCc1ccccc1,1.63,0.204,0.43,0.04,717.7,5.7,0,25,0.018,0.74,2.33,1.588,0.44,721.0,0.64
CCOC(=O)CO,2.43,0.413,0.25,0.07,606.1,27.5,0,20,0.007,0.56,2.17,2.214,0.29,619.4,0.12
CCOC(=O)Cc1ccc2ccccc2c1,1.614,0.348,0.48,0.06,815.7,6.4,0,13,0.008,1.54,3.99,1.616,0.48,818.0,1.47
CCOC(=O)Cc1cccc2ccccc12,1.563,0.498,0.48,0.08,816.8,14.1,0,13,0.011,1.39,4.0,1.596,0.48,818.0,1.38
CCOC(=O)Cc1ccccc1,1.575,0.072,0.43,0.01,703.5,0.9,0,25,0.013,0.54,0.75,1.553,0.43,704.0,0.51
CCOC(=O)OCC,1.432,0.232,0.42,0.04,571.7,5.6,0,21,0.011,0.61,1.45,1.395,0.43,573.1,0.61
CCOC(=O)c1ccc(C(C)C)cc1,1.587,0.206,0.44,0.04,732.4,5.9,0,26,0.014,0.79,2.99,1.512,0.45,736.0,0.64
CCOC(=O)c1ccc(C)cc1,1.569,0.228,0.43,0.04,712.9,4.7,0,25,0.011,0.66,2.74,1.575,0.43,716.0,0.57
CCOC(=O)c1ccc(O)cc1,1.793,0.429,0.41,0.08,766.5,15.9,0,12,0.01,0.9,3.07,1.649,0.43,774.0,0.67
CCOC(=O)c1ccc(OC)cc1,1.562,0.26,0.44,0.05,759.0,4.7,0,12,0.012,0.66,2.75,1.537,0.44,762.0,0.51
CCOC(=O)c1ccc2ccccc2c1,1.688,0.402,0.46,0.07,823.1,10.2,0,13,0.011,1.5,3.84,1.583,0.48,825.0,1.47
CCOC(=O)c1cccc(C(=O)OCC)c1,2.063,0.311,0.38,0.06,763.9,7.7,0,12,0.01,1.6,3.56,1.836,0.42,767.0,1.33
CCOC(=O)c1cccc(O)c1,1.614,0.411,0.44,0.07,769.9,11.7,0,12,0.018,0.85,2.94,1.514,0.45,775.0,0.65
CCOC(=O)c1cccc(OC)c1,1.547,0.18,0.45,0.03,737.8,4.1,0,26,0.01,0.75,3.08,1.522,0.46,740.0,0.68
CCOC(=O)c1cccc2ccccc12,1.64,0.315,0.46,0.06,822.4,6.1,0,13,0.014,1.28,3.6,1.561,0.48,825.0,1.17
CCOC(=O)c1ccccc1,1.478,0.071,0.43,0.01,699.2,2.0,0,25,0.008,0.38,0.61,1.446,0.44,700.0,0.37
CCOC(=O)c1ccccc1C,1.553,0.273,0.43,0.05,702.9,5.8,0,25,0.011,0.56,2.89,1.561,0.43,704.0,0.5
CCOC(=O)c1ccccc1C(=O)OCC,1.554,0.198,0.46,0.04,771.5,6.0,0,12,0.018,0.31,1.47,1.463,0.48,775.0,0.21
CCOC(=O)c1ccccc1OC,1.612,0.241,0.44,0.04,737.7,6.1,0,26,0.012,0.81,3.22,1.537,0.45,741.0,0.69
CCOC(C)(C)C,1.538,0.114,0.36,0.02,507.4,2.8,0,19,0.014,0.3,0.65,1.525,0.36,509.4,0.29
CCOC(C)(C)C(C)C,1.581,0.328,0.38,0.06,554.6,8.2,0,17,0.007,0.28,1.86,1.47,0.4,560.0,0.16
CCOC(C)(C)CC,1.568,0.061,0.37,0.01,541.3,2.2,0,31,0.012,0.29,0.15,1.542,0.38,542.2,0.28
CCOC(C)(C)CC(C)(C)C,1.634,0.199,0.39,0.04,591.5,5.7,0,19,0.011,0.47,1.86,1.51,0.41,595.0,0.3
CCOC(C)(C)CO,1.64,0.223,0.38,0.04,607.1,5.9,0,20,0.009,0.44,2.12,1.489,0.41,611.0,0.2
CCOC(C)(C)OCC,1.459,0.306,0.44,0.06,508.6,4.1,0,17,0.009,0.75,2.51,1.412,0.45,510.7,0.65
CCOC(C)(OCC)OCC,1.496,0.215,0.41,0.04,599.6,5.4,0,19,0.013,0.6,1.97,1.455,0.42,602.0,0.56
CCOC(C)(OCC)c1ccc(C(C)(OCC)OCC)cc1,1.531,0.648,0.47,0.11,729.4,28.6,1,12,0.011,1.18,5.0,1.143,0.53,741.1,0.79
CCOC(C)(OCC)c1ccccc1,1.654,0.306,0.39,0.05,724.6,9.7,0,13,0.015,0.79,2.45,1.564,0.4,731.0,0.69
CCOC(C)=O,1.37,0.098,0.41,0.02,522.5,1.3,0,19,0.01,0.25,0.67,1.346,0.41,523.3,0.22
CCOC(C)C,1.514,0.223,0.36,0.04,484.9,4.8,0,27,0.012,0.17,1.29,1.397,0.38,488.4,0.03
CCOC(C)CC,1.551,0.211,0.37,0.04,516.7,5.4,0,28,0.01,0.21,1.47,1.419,0.39,520.6,0.05
CCOC(C)COC(C)CO,1.598,0.259,0.45,0.05,656.3,5.1,0,22,0.014,0.81,2.95,1.525,0.46,659.0,0.69
CCOC(C)OCC,1.498,0.198,0.41,0.04,537.3,3.9,0,20,0.017,0.58,1.34,1.425,0.42,539.7,0.57
CCOC(C)c1ccc(OC)cc1,1.734,0.233,0.4,0.04,713.6,5.9,0,25,0.01,0.53,2.68,1.656,0.41,718.0,0.43
CCOC(CC)=C(C)C,1.588,0.295,0.38,0.06,562.4,6.1,0,18,0.01,0.47,2.15,1.459,0.41,565.0,0.19
CCOC(CC)OCC,1.652,0.248,0.38,0.05,551.4,7.0,0,17,0.01,0.47,1.71,1.52,0.41,557.0,0.3
CCOC(OCC)(OCC)OCC,1.685,0.279,0.42,0.05,610.6,5.1,0,20,0.012,1.0,2.86,1.562,0.45,613.0,0.78
CCOC(OCC)(c1ccccc1)c1ccccc1,1.415,0.272,0.48,0.05,812.2,5.9,0,26,0.01,0.6,3.27,1.398,0.48,814.0,0.56
CCOC(OCC)C(C)C,1.6,0.248,0.4,0.05,573.4,5.6,0,18,0.016,0.4,2.1,1.512,0.41,577.0,0.27
CCOC(OCC)OCC,0.838,3.818,0.52,0.52,599.9,145.1,1,21,0.013,3.83,3.37,1.443,0.44,583.0,1.6
CCOC(OCC)c1ccccc1,1.895,0.927,0.36,0.14,693.4,41.1,0,21,0.013,2.5,2.51,1.919,0.36,687.0,2.14
CCOC1CCC=CO1,1.637,0.214,0.38,0.04,610.2,5.8,0,20,0.01,0.38,2.07,1.536,0.4,614.0,0.2
CCOC=O,0.985,0.071,0.47,0.01,508.9,1.7,0,18,0.019,0.51,0.36,0.94,0.48,509.8,0.52
CCOCC,1.232,0.065,0.41,0.01,466.1,1.1,0,18,0.011,0.21,0.38,1.215,0.41,466.7,0.19
CCOCC(C)(C)C,1.629,0.234,0.36,0.04,542.7,6.4,0,31,0.009,0.15,1.86,1.54,0.38,544.5,0.07
CCOCC(C)(C)O,1.637,0.243,0.39,0.05,584.2,5.9,0,19,0.017,0.56,2.31,1.523,0.41,588.0,0.29
CCOCC(C)C,1.496,0.193,0.38,0.04,516.0,3.7,0,29,0.016,0.18,1.52,1.425,0.39,518.4,0.09
CCOCC(C)O,1.76,0.24,0.37,0.05,584.2,6.4,0,19,0.011,0.54,2.29,1.576,0.4,587.7,0.28
CCOCC(O)COC(C)(C)C,1.507,0.24,0.45,0.04,662.1,4.6,0,23,0.014,0.68,2.82,1.471,0.45,664.0,0.56
CCOCC(O)COOC(C)(C)C,1.327,0.256,0.45,0.05,676.6,6.4,0,23,0.009,0.36,2.35,1.207,0.47,681.0,0.26
CCOCC1CO1,1.663,0.25,0.38,0.05,584.5,5.5,0,19,0.012,0.59,2.26,1.462,0.42,588.0,0.21
CCOCCC(=O)OCC,1.481,0.173,0.43,0.03,618.1,4.6,0,20,0.013,0.39,1.3,1.392,0.44,620.6,0.25
CCOCCC(C)C,1.605,0.211,0.38,0.04,548.0,6.4,0,31,0.009,0.33,1.83,1.47,0.4,552.6,0.15
CCOCCC(C)CCO,2.056,0.288,0.36,0.05,643.7,9.3,0,22,0.01,1.36,3.06,2.033,0.36,645.5,1.32
CCOCCCCCCOC,1.678,0.263,0.41,0.05,624.4,5.0,0,21,0.008,0.78,2.74,1.604,0.42,628.0,0.59
CCOCCCCCOC,1.591,0.215,0.42,0.04,606.8,5.7,0,20,0.014,0.57,2.45,1.557,0.42,609.0,0.43
CCOCCCCCOCC,1.652,0.245,0.42,0.05,617.0,6.3,0,20,0.012,0.64,2.55,1.537,0.44,621.0,0.46
CCOCCCCOC,1.66,0.32,0.39,0.06,586.1,9.6,0,19,0.014,0.56,2.38,1.573,0.41,588.0,0.38
CCOCCCCOCC,1.616,0.23,0.4,0.04,608.3,4.8,0,20,0.015,0.48,2.28,1.534,0.41,611.0,0.32
CCOCCCO,1.686,0.314,0.4,0.06,614.7,10.0,0,20,0.013,0.61,2.48,1.573,0.42,620.0,0.43
CCOCCCOCC,1.58,0.363,0.4,0.06,589.4,10.7,0,19,0.009,0.38,2.14,1.556,0.4,591.0,0.32
CCOCCO,1.712,0.131,0.38,0.02,598.0,3.1,0,17,0.014,0.6,0.64,1.778,0.37,599.0,0.71
CCOCCOC,1.732,0.184,0.31,0.04,547.4,5.8,0,31,0.014,0.27,1.46,1.642,0.33,550.4,0.27
CCOCCOC(C)(C)C,1.752,0.213,0.38,0.04,582.0,4.4,0,19,0.014,0.42,2.02,1.643,0.4,583.8,0.17
CCOCCOC(C)=O,1.634,0.023,0.4,0.0,608.5,0.1,0,20,0.017,0.32,0.18,1.626,0.4,608.5,0.31
CCOCCOC(C)C,1.632,0.347,0.39,0.06,564.7,13.5,0,18,0.007,0.59,2.23,1.57,0.4,566.0,0.47
CCOCCOCC,1.06,0.045,0.49,0.01,541.9,0.3,0,20,0.009,0.2,0.38,1.058,0.49,542.0,0.2
CCOCCOCCO,1.804,0.227,0.38,0.04,666.0,5.5,0,20,0.01,0.42,2.46,1.658,0.41,670.0,0.12
CCOCCOCCOC(C)=O,1.329,0.201,0.49,0.04,669.9,2.1,0,23,0.014,1.15,1.99,1.366,0.48,670.3,1.2
CCOCCOCCOCC,1.895,0.269,0.39,0.05,606.8,5.2,0,21,0.012,1.88,2.94,1.807,0.41,608.3,1.97
CCOCCOCCOCCO,1.517,0.173,0.42,0.03,742.8,2.8,0,27,0.013,0.39,2.58,1.489,0.43,744.0,0.3
CCOCCOCCOCCOCCOCC,1.506,0.189,0.47,0.03,748.6,3.2,0,27,0.011,0.81,3.25,1.438,0.48,750.0,0.69
CCOCOC(=O)CC,1.676,0.262,0.39,0.05,588.9,7.0,0,19,0.012,0.56,2.3,1.515,0.42,594.0,0.3
CCOCOCC,1.729,0.253,0.34,0.05,527.4,7.6,0,18,0.014,0.38,1.33,1.681,0.34,531.7,0.31
CCOCOCOCC,1.779,0.249,0.36,0.05,583.8,5.3,0,19,0.011,0.61,2.23,1.631,0.39,587.0,0.36
CCOCOCOCOCC,1.712,0.221,0.4,0.04,617.7,7.5,0,20,0.011,0.46,2.36,1.58,0.43,623.0,0.27
CCOCOCOCOCOCC,1.603,0.194,0.43,0.04,666.3,4.7,0,23,0.009,0.59,2.6,1.599,0.43,668.0,0.56
CCOCc1ccccc1,1.43,0.198,0.43,0.04,662.4,5.7,0,23,0.011,0.37,1.95,1.336,0.45,665.6,0.29
CCOO,1.76,0.191,0.42,0.04,510.3,3.8,0,27,0.014,1.01,2.57,1.742,0.42,512.0,0.96
CCOOCC,1.49,0.231,0.34,0.05,492.4,5.0,0,28,0.011,0.12,1.43,1.393,0.36,494.5,0.04
CCOc1c(OCC)c(=O)c1=O,1.14,0.293,0.42,0.05,810.0,9.2,0,13,0.012,0.44,1.65,1.037,0.43,815.4,0.36
CCOc1cc(C=O)ccc1O,1.845,0.26,0.4,0.05,796.6,7.6,0,24,0.009,0.44,3.06,1.746,0.42,803.0,0.26
CCOc1ccc(C)cc1,1.605,0.219,0.41,0.04,669.9,4.6,0,23,0.014,0.51,2.42,1.505,0.43,673.0,0.32
CCOc1ccc(CC(=O)O)cc1,1.897,0.257,0.39,0.05,791.4,8.4,0,23,0.009,0.34,2.74,1.75,0.41,797.8,0.1
CCOc1ccc(O)cc1,1.468,0.238,0.48,0.04,717.3,5.5,0,25,0.011,0.75,3.17,1.437,0.48,719.0,0.67
CCOc1ccc2ccccc2c1,1.82,0.532,0.4,0.09,775.9,19.7,0,12,0.014,0.91,2.89,1.64,0.43,786.0,0.73
CCOc1cccc(C=O)c1O,1.608,0.209,0.36,0.04,826.6,7.5,0,27,0.01,0.2,2.1,1.498,0.38,829.9,0.06
CCOc1cccc(O)c1,1.491,0.217,0.48,0.04,715.5,4.0,0,25,0.011,0.93,3.27,1.496,0.48,717.0,0.88
CCOc1cccc2ccccc12,1.634,0.335,0.43,0.06,776.3,9.9,0,12,0.017,0.8,2.89,1.476,0.46,781.0,0.68
CCOc1ccccc1,1.584,0.063,0.4,0.01,646.3,1.5,0,22,0.017,0.49,0.39,1.567,0.4,647.1,0.45
CCOc1ccccc1C,1.584,0.241,0.41,0.04,655.2,7.1,0,22,0.009,0.41,1.91,1.528,0.42,660.0,0.29
CCOc1ccccc1O,1.627,0.221,0.42,0.04,700.0,4.8,0,25,0.012,0.74,2.82,1.564,0.43,702.0,0.46
CCOc1ccccc1OC,1.604,0.266,0.45,0.05,703.7,6.9,0,25,0.008,0.9,3.21,1.633,0.44,704.0,0.97
CCc1c(C)c(C)c(C)c(C)c1CC,1.61,0.373,0.4,0.07,764.2,8.1,0,12,0.011,0.45,2.39,1.573,0.41,769.0,0.28
CCc1c(C)cc(C)c2ccccc12,1.548,0.429,0.44,0.08,780.5,14.8,0,12,0.016,0.58,2.7,1.478,0.45,789.0,0.42
CCc1c(C)cc(C)cc1C,1.518,0.151,0.42,0.03,683.5,1.9,0,24,0.012,0.47,1.37,1.453,0.44,685.0,0.43
CCc1c(C)cc(C)cc1O,1.662,0.212,0.41,0.04,719.5,7.8,0,20,0.011,0.38,2.47,1.589,0.42,725.0,0.28
CCc1c(C)cc(O)cc1C,1.702,0.253,0.42,0.05,748.0,7.6,0,21,0.014,0.63,2.73,1.633,0.43,750.0,0.46
CCc1c(C)ccc(C)c1C,1.353,0.201,0.45,0.04,691.6,3.2,0,24,0.012,0.68,1.84,1.274,0.47,692.9,0.6
CCc1c(C)ccc(C)c1CC,1.494,0.198,0.42,0.04,699.1,5.2,0,24,0.02,0.29,2.3,1.452,0.42,702.0,0.18
CCc1c(C)ccc(O)c1C,1.673,0.234,0.42,0.04,720.1,7.5,0,20,0.01,0.48,2.52,1.595,0.43,725.0,0.38
CCc1c(C)ccc2ccccc12,1.591,0.363,0.43,0.07,775.8,8.7,0,12,0.011,0.63,2.85,1.491,0.45,782.0,0.46
CCc1c(C)cccc1C,1.552,0.174,0.41,0.03,668.9,3.7,0,23,0.012,0.3,1.79,1.519,0.41,671.0,0.18
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,1.819,0.199,0.4,0.04,734.8,8.1,0,18,0.024,1.01,1.85,1.727,0.42,736.7,0.97
CCc1c(CC)c(CC)c2c(c1CC)CC(CC)(CC)C2,1.441,0.44,0.5,0.08,837.5,13.4,0,13,0.012,0.92,3.81,1.4,0.51,843.0,0.79
CCc1c2ccccc2cc2ccccc12,1.532,0.341,0.46,0.06,869.9,8.0,0,14,0.012,0.99,3.46,1.522,0.46,874.0,0.85
CCc1cc(C(C)C)cc2c1C(C)CC2,1.501,0.382,0.46,0.07,759.9,7.6,0,12,0.01,0.71,3.01,1.486,0.46,762.0,0.62
CCc1cc(C)c(C)c2ccccc12,1.508,0.386,0.49,0.07,784.4,10.8,1,12,0.014,1.07,3.65,1.457,0.5,789.0,0.96
CCc1cc(C)c(C)cc1C,1.553,0.162,0.42,0.03,684.8,3.1,0,24,0.011,0.86,1.66,1.527,0.42,686.4,0.77
CCc1cc(C)c(C)cc1O,1.697,0.227,0.42,0.04,732.5,6.4,0,22,0.012,0.6,2.68,1.577,0.44,737.0,0.38
CCc1cc(C)c(O)c(C)c1,1.669,0.243,0.41,0.04,704.2,6.0,0,22,0.013,0.61,2.61,1.599,0.43,707.0,0.43
CCc1cc(C)c(O)cc1C,1.668,0.239,0.42,0.04,722.6,5.6,0,23,0.009,0.66,2.85,1.619,0.43,725.0,0.5
CCc1cc(C)c2c(c1C)CC(CC)(CC)C2,1.534,0.384,0.47,0.07,777.1,7.1,0,12,0.011,0.88,3.25,1.478,0.48,781.0,0.77
CCc1cc(C)cc(C(C)(C)C)c1,1.535,0.205,0.42,0.04,687.4,4.2,0,24,0.011,0.39,2.38,1.488,0.43,690.0,0.29
CCc1cc(C)cc(C)c1,1.454,0.171,0.43,0.03,652.9,3.8,0,25,0.012,0.82,2.07,1.37,0.44,655.0,0.8
CCc1cc(C)cc(C)c1O,1.556,0.246,0.43,0.04,702.5,6.5,0,25,0.012,0.63,2.84,1.531,0.44,705.0,0.49
CCc1cc(C)cc(CC)c1,1.897,0.31,0.35,0.05,666.5,12.0,0,26,0.013,1.65,2.56,1.97,0.34,665.0,1.57
CCc1cc(C)cc(O)c1,1.412,0.299,0.47,0.05,722.5,7.1,0,21,0.015,0.9,2.6,1.402,0.47,724.0,0.9
CCc1cc(C)ccc1C,1.403,0.212,0.44,0.04,660.2,2.7,0,25,0.012,0.8,2.0,1.379,0.44,660.9,0.72
CCc1cc(CC)c(CC)c(CC)c1,1.626,0.21,0.43,0.04,703.9,6.0,0,23,0.011,0.97,2.57,1.674,0.42,705.2,1.04
CCc1cc(CC)c(CC)c(CC)c1CC,1.814,0.18,0.41,0.03,724.0,4.1,0,26,0.014,1.96,2.8,1.821,0.41,724.1,1.94
CCc1cc(CC)c(CC)cc1CC,1.541,0.242,0.44,0.04,699.2,6.1,0,25,0.016,0.63,2.76,1.509,0.45,702.0,0.46
CCc1cc(CC)c2c(c1)C(C)(C)CC2,1.559,0.322,0.45,0.06,766.3,6.9,0,12,0.018,0.87,2.97,1.566,0.45,770.0,0.71
CCc1cc(CC)cc(C(=O)O)c1,1.909,0.224,0.39,0.04,789.8,7.2,0,24,0.013,0.38,2.79,1.774,0.41,795.7,0.19
CCc1cc(CC)cc(CC)c1,1.438,0.072,0.45,0.01,676.9,3.0,0,25,0.007,0.54,0.51,1.394,0.46,679.0,0.55
CCc1cc(O)c(C)cc1C,1.652,0.266,0.42,0.05,725.1,8.4,0,23,0.013,0.57,2.84,1.578,0.43,727.0,0.4
CCc1cc(O)cc(C)c1C,1.621,0.263,0.43,0.05,720.4,8.4,0,20,0.015,0.41,2.53,1.591,0.43,726.0,0.36
CCc1cc(O)cc(CC)c1,-1.496,8.977,0.91,1.16,815.3,298.3,1,21,0.01,13.24,2.98,0.902,0.58,732.5,3.83
CCc1cc(O)ccc1C,2.651,0.419,0.21,0.08,712.7,23.0,0,23,0.009,1.71,2.43,2.464,0.24,722.8,1.19
CCc1cc2c(c(CC)c1CC)CC(CC)(CC)C2,1.459,0.367,0.49,0.07,788.2,8.0,0,12,0.011,0.87,3.44,1.411,0.5,792.0,0.75
CCc1cc2c(cc1C)CCCC2,1.547,0.199,0.43,0.04,747.5,5.0,0,27,0.012,0.55,2.78,1.504,0.44,750.0,0.45
CCc1cc2c(cc1CC)CC(CC)(CC)C2,1.606,0.408,0.45,0.07,773.8,9.7,0,12,0.011,0.97,3.24,1.493,0.47,778.0,0.78
CCc1cc2ccccc2c2ccccc12,1.595,0.358,0.45,0.06,870.7,12.7,0,14,0.013,0.97,3.37,1.526,0.46,877.0,0.79
CCc1cc2ccccc2cc1C,1.523,0.23,0.45,0.04,752.1,4.3,0,27,0.012,0.93,2.95,1.49,0.45,753.0,0.86
CCc1cc2ccccc2cc1CC,1.464,0.364,0.47,0.07,780.1,8.5,0,12,0.008,0.66,2.94,1.483,0.46,785.0,0.59
CCc1ccc(-c2ccc(CC)cc2)cc1,1.587,0.232,0.44,0.04,796.6,7.4,0,24,0.011,0.61,2.91,1.464,0.46,802.0,0.38
CCc1ccc(-c2ccc(CCCCc3ccc(-c4ccc(CC)cc4)cc3)cc2)cc1,1.062,0.586,0.59,0.1,1061.1,15.5,0,14,0.012,1.75,4.91,1.164,0.58,1058.1,1.6
CCc1ccc(-c2cccc(CC)c2)cc1,1.434,0.393,0.47,0.07,786.1,9.1,0,12,0.014,0.56,2.99,1.385,0.48,791.0,0.47
CCc1ccc(-c2ccccc2)cc1,1.643,0.244,0.42,0.04,783.4,7.3,0,26,0.013,0.79,2.93,1.622,0.43,785.0,0.76
CCc1ccc(C(=O)c2ccccc2)cc1,1.595,0.319,0.44,0.06,855.2,8.5,0,14,0.016,0.67,3.36,1.536,0.45,859.0,0.44
CCc1ccc(C(=O)c2ccccc2C(=O)O)cc1,1.772,0.306,0.47,0.05,924.2,6.2,0,15,0.008,2.44,4.59,1.768,0.47,927.0,2.22
CCc1ccc(C(C)(C)C)cc1,1.141,11.886,0.23,0.7,488.9,1581.7,0,20,0.011,34.48,2.53,1.683,0.41,681.0,0.32
CCc1ccc(C(C)(C)C)cc1CC,1.523,0.178,0.42,0.03,728.7,4.3,1,26,0.011,0.37,2.48,1.454,0.43,731.0,0.24
CCc1ccc(C(C)(C)CC)cc1,1.803,0.42,0.36,0.08,718.4,17.5,0,23,0.011,0.5,2.14,1.465,0.43,729.0,0.13
CCc1ccc(C(C)=O)cc1,1.724,0.196,0.4,0.04,724.4,5.0,0,26,0.016,0.57,2.76,1.592,0.43,728.0,0.54
CCc1ccc(C(C)C)cc1,1.581,0.243,0.4,0.05,668.6,5.7,0,23,0.01,0.44,2.37,1.483,0.42,672.0,0.26
