smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
C=Cc1ccc(C)cc1C,1.531,0.589,0.41,0.09,693.4,28.0,0,26,0.016,1.76,2.57,1.711,0.38,684.0,1.66
C=Cc1ccc(C=C)c(C=C)c1,1.594,0.361,0.4,0.06,772.7,11.0,0,12,0.01,0.36,2.24,1.498,0.41,779.0,0.19
C=Cc1ccc(C=C)cc1,1.642,0.259,0.4,0.05,697.0,8.4,0,21,0.009,0.34,2.24,1.537,0.42,703.0,0.19
C=Cc1ccc(CC)cc1,1.529,0.209,0.42,0.04,672.7,4.4,0,24,0.01,0.63,2.34,1.506,0.42,675.0,0.52
C=Cc1ccc(CCCC)cc1,1.552,0.195,0.42,0.04,725.6,2.8,0,26,0.011,0.5,2.64,1.529,0.43,727.0,0.43
C=Cc1ccc(CCCCCC)cc1,1.469,0.216,0.46,0.04,747.1,3.3,0,27,0.013,0.57,2.95,1.467,0.46,748.0,0.54
C=Cc1ccc(CCCCCCCC)cc1,1.383,0.344,0.49,0.06,753.9,6.5,0,12,0.019,0.79,3.2,1.36,0.5,756.0,0.62
C=Cc1ccc(CCCCCCCCC)cc1,1.44,0.4,0.49,0.07,771.4,10.5,0,12,0.018,0.82,3.31,1.343,0.5,777.0,0.59
C=Cc1ccc(CCCCCCCCCC)cc1,1.456,0.369,0.5,0.07,781.1,7.4,0,12,0.009,0.95,3.64,1.367,0.51,785.0,0.75
C=Cc1ccc(CCCCCCCCCCCC)cc1,1.363,0.431,0.53,0.08,779.6,7.8,0,12,0.008,1.3,4.04,1.289,0.54,782.0,1.1
C=Cc1ccc(Cc2ccccc2)cc1,1.651,0.608,0.42,0.1,786.5,25.7,0,12,0.011,0.68,2.61,1.447,0.45,800.0,0.36
C=Cc1ccc(OC)cc1,1.653,0.253,0.41,0.05,692.1,5.6,0,24,0.011,0.5,2.54,1.56,0.42,696.0,0.35
C=Cc1ccc(OCC)cc1,1.579,0.2,0.42,0.04,710.0,5.4,0,25,0.012,0.56,2.61,1.528,0.43,713.0,0.42
C=Cc1ccc2ccccc2c1,1.731,0.212,0.39,0.04,789.7,6.5,0,25,0.012,0.4,2.71,1.632,0.41,794.0,0.19
C=Cc1cccc(C(C)(C)C)c1,1.525,0.202,0.4,0.04,742.0,3.9,0,27,0.009,0.25,2.25,1.466,0.41,744.0,0.13
C=Cc1cccc(C)c1,1.496,0.138,0.41,0.03,663.9,3.0,0,26,0.014,0.56,1.18,1.445,0.42,666.0,0.48
C=Cc1cccc(C=C)c1,1.753,0.213,0.37,0.04,697.2,5.3,0,25,0.01,0.43,2.01,1.731,0.37,700.0,0.39
C=Cc1cccc(CC)c1,1.463,0.155,0.43,0.03,677.4,2.5,0,12,0.017,0.79,0.99,1.395,0.44,678.0,0.79
C=Cc1cccc2ccccc12,1.687,0.551,0.4,0.1,783.2,34.0,0,12,0.007,0.62,2.48,1.548,0.42,795.0,0.41
C=Cc1ccccc1,1.62,0.146,0.37,0.03,632.5,4.6,0,21,0.012,0.47,1.15,1.6,0.37,635.2,0.41
C=Cc1ccccc1-c1ccccc1,1.513,0.4,0.47,0.07,796.4,10.3,0,12,0.016,0.9,3.21,1.475,0.48,801.0,0.79
C=Cc1ccccc1C,1.566,0.063,0.39,0.01,665.7,0.9,0,25,0.008,0.48,0.49,1.566,0.39,666.0,0.47
C=Cc1ccccc1C=C,1.617,0.203,0.38,0.04,734.9,6.7,0,26,0.011,0.23,2.05,1.511,0.39,739.9,0.16
C=Cc1ccccc1CC,1.543,0.08,0.4,0.01,683.2,1.1,0,27,0.009,0.58,0.76,1.515,0.41,684.0,0.55
C=Cc1ccccc1O,2.587,0.439,0.21,0.08,713.6,29.7,0,23,0.009,1.67,2.05,2.425,0.24,724.4,1.09
C=Cc1ccccc1OC,1.634,0.204,0.42,0.04,702.6,3.6,0,25,0.012,0.8,2.73,1.602,0.43,704.0,0.69
C=Cc1ccco1,1.228,0.28,0.44,0.05,567.8,7.6,0,22,0.011,0.75,2.07,1.176,0.45,569.6,0.71
C=O,0.641,0.112,0.48,0.02,415.3,2.2,0,28,0.01,0.39,0.6,0.551,0.49,416.5,0.35
C=c1ccc(=C)cc1,1.685,0.209,0.35,0.04,618.8,7.1,0,31,0.015,0.22,1.7,1.517,0.38,624.2,0.01
CC,1.068,0.142,0.34,0.03,303.7,1.2,0,6,0.011,0.04,0.25,1.08,0.34,303.5,0.03
CC#CC,1.33,0.287,0.37,0.05,488.6,9.7,0,26,0.018,0.56,0.97,1.305,0.37,489.1,0.56
CC#CC#CC,1.657,0.128,0.36,0.02,617.1,3.5,0,30,0.013,0.46,0.67,1.57,0.38,619.0,0.34
CC#CC#Cc1ccccc1,1.662,0.218,0.43,0.04,735.8,5.5,0,26,0.012,0.9,3.01,1.63,0.44,739.0,0.8
CC#CC(C)(C)C,1.552,0.287,0.34,0.05,546.1,7.8,0,20,0.013,0.17,1.54,1.431,0.36,551.6,0.05
