smiles,temperature,source,total_atoms,predicted,predicted_stddev
CC(C)C=O,,DIPPR,5,36.44757,2.855332
CC(C)CC(=O)CC(C)C,,DIPPR,10,48.427425,3.7236705
CC(C)CC(=O)CC(C)CC(C)C,,DIPPR,13,57.111416,4.4915023
CC(C)CC(=O)O,,DIPPR,7,57.942036,5.79671
CC(C)CC(C)O,,DIPPR,7,48.89554,3.4894881
CC(C)CC(O)CC(C)C,,DIPPR,10,54.34637,4.2756305
CC(C)CC1CCCCC1,,DIPPR,10,47.761566,4.0407124
CC(C)CC=O,,DIPPR,6,37.983078,3.8074827
CC(C)CCC(C)(C)C,,DIPPR,9,40.59103,2.9323063
CC(C)CCC(C)C,,DIPPR,8,39.309105,2.339467
CC(C)CCCC(C)C,,DIPPR,9,43.22585,2.845872
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,,DIPPR,30,74.69344,10.132991
CC(C)CCCCC(C)C,,DIPPR,10,46.91849,2.6860213
CC(C)CCCCCCCO,,DIPPR,11,64.66323,5.530936
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,,DIPPR,28,82.4154,7.307127
CC(C)CCCCO,,DIPPR,8,55.480427,4.608685
CC(C)CCO,,DIPPR,6,51.51723,4.2304583
CC(C)CCOC(=O)CC(C)C,,DIPPR,12,54.071644,3.7437258
CC(C)CO,,DIPPR,5,48.259655,3.5843573
CC(C)COC(=O)C(C)C,,DIPPR,10,45.698822,2.8537116
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,,DIPPR,20,72.12724,5.912229
CC(C)COC=O,,DIPPR,7,41.04539,3.886704
CC(C)COCC(C)C,,DIPPR,9,41.09574,3.103981
CC(C)Cc1ccccc1,,DIPPR,10,46.075172,2.5506806
CC(C)O,,DIPPR,4,43.48574,3.0087361
CC(C)OC(C)C,,DIPPR,7,34.92554,2.469911
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,,DIPPR,11,56.359543,5.5914097
CC(C)c1cc(C(C)C)cc(C(C)C)c1,,DIPPR,15,55.606483,3.7435322
CC(C)c1ccc(C(C)C)cc1,,DIPPR,12,51.23343,2.9658585
CC(C)c1cccc(C(C)C)c1,,DIPPR,12,51.59701,2.9611912
CC(C)c1ccccc1,,DIPPR,9,43.574455,2.0706463
CC(C=O)c1ccccc1,,DIPPR,10,54.42245,4.518516
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,DIPPR,16,55.16039,4.5372744
CC(CO)CO,,DIPPR,6,67.1962,6.636819
CC(CO)c1ccccc1,,DIPPR,10,58.847084,4.454749
CC(O)C(C)O,,DIPPR,6,61.75749,5.549251
CC(O)CC(C)(C)O,,DIPPR,8,63.727177,6.3751183
CC(O)CC(C)O,,DIPPR,7,60.18631,5.3379135
CC(O)CC=O,,DIPPR,6,48.251213,4.180252
CC(O)CCO,,DIPPR,6,68.14698,6.9207945
CC(O)CO,,DIPPR,5,61.380627,5.177896
CC(O)COC(C)(C)C,,DIPPR,9,47.694,3.541348
CC(O)COC(C)C,,DIPPR,8,48.059013,3.6640859
CC(O)COCC(C)O,,DIPPR,9,57.960506,4.944774
CC(O)COCC(C)OCC(C)O,,DIPPR,13,67.915215,6.428578
CC(OC(C)c1ccccc1)c1ccccc1,,DIPPR,17,62.393673,4.5955753
CC/C=C/CC,,DIPPR,6,34.51996,2.70477
CC/C=C/CCC,,DIPPR,7,38.188675,3.4151611
CC/C=C/CCCC,,DIPPR,8,42.188354,3.4787421
CC/C=C\CCCC,,DIPPR,8,41.97692,3.339137
CC1(C)C(O)C(C)(C)C1O,,DIPPR,10,70.343636,8.680752
CC1(C)C2CC[C@]1(C)C(=O)C2,,DIPPR,11,48.138203,5.6646066
CC1(C)CCCCC1,,DIPPR,8,51.64752,13.342152
CC1(C)CO1,,DIPPR,5,32.62626,3.8003335
CC12CC3CC(C1)CC(C)(C3)C2,,DIPPR,12,49.25327,4.6512327
CC1=CC(=O)CC(C)(C)C1,,DIPPR,10,56.03239,5.2588987
CC1=CC(=O)OC1=O,,DIPPR,8,58.718124,5.5779057
CC1=CC2CC1C1C(C)=CCC21,,DIPPR,12,41.741062,4.4801855
CC1=CC=C(C(C)C)CC1,,DIPPR,10,44.992157,3.6062078
CC1=CCC(=C(C)C)CC1,,DIPPR,10,50.895065,4.0885153
CC1=CCC(C(C)(C)O)CC1,,DIPPR,11,56.445892,5.1542277
CC1=CCC(C(C)C)=CC1,,DIPPR,10,47.13808,3.8530197
CC1=CCC(C(C)C)C=C1,,DIPPR,10,45.481647,3.3187027
CC1=CCC2CC1C2(C)C,,DIPPR,10,41.182156,3.936747
CC1=CCCC1,,DIPPR,6,34.817387,2.446247
CC1CCC(=O)O1,,DIPPR,7,52.520016,4.444236
CC1CCC(CO)CC1,,DIPPR,9,67.83187,18.524303
CC1CCCC(C)(C)C1,,DIPPR,9,41.0841,4.142712
CC1CCCCC1,,DIPPR,7,36.771038,2.8645616
CC1CCCO1,,DIPPR,6,35.193806,2.2415528
CC1CO1,,DIPPR,4,31.305662,3.2151875
CC1COC(=O)O1,,DIPPR,7,57.39725,5.0520153
CC1OC(C)OC(C)O1,,DIPPR,9,45.207542,4.6292624
CC1OCCO1,,DIPPR,6,37.40466,3.3557649
CC=C(C)C,,DIPPR,5,29.696377,2.1957483
CC=C1CC2C=CC1C2,,DIPPR,9,40.676323,3.4791312
CC=CCCc1ccccc1C,,DIPPR,12,52.004414,3.7205596
CC=Cc1ccc(OC)cc1,,DIPPR,11,57.505272,4.2251973
CC=O,,DIPPR,3,27.1883,3.1902146
CCC(=O)C(C)C,,DIPPR,7,41.00449,2.8999963
CCC(=O)CC,,DIPPR,6,38.583202,3.0753846
CCC(=O)O,,DIPPR,5,49.55921,4.953317
CCC(=O)OC,,DIPPR,6,36.781334,1.9876276
CCC(=O)OC(=O)CC,,DIPPR,9,52.78349,3.444119
CCC(=O)OC(C)COC,,DIPPR,10,49.17271,3.5570374
CCC(C(C)C)C(C)C,,DIPPR,9,41.66279,2.9170318
CCC(C)(C)C(=O)O,,DIPPR,8,60.797913,6.495237
CCC(C)(C)C(C)(C)C,,DIPPR,9,40.75455,3.6967425
CCC(C)(C)C(C)C,,DIPPR,8,38.213036,2.1636257
CCC(C)(C)CC(C)C,,DIPPR,9,41.22045,2.818008
CCC(C)(C)O,,DIPPR,6,46.420364,3.7696357
CCC(C)(C)OC,,DIPPR,7,35.852303,2.9407487
CCC(C)(C)c1ccc(O)cc1,,DIPPR,12,61.113358,5.0294094
CCC(C)(CC)CC,,DIPPR,8,38.89625,2.5825462
CCC(C)(O)CC,,DIPPR,7,44.353237,3.5547395
CCC(C)=O,,DIPPR,5,35.714256,3.2674375
CCC(C)C(C)(C)C,,DIPPR,8,38.096756,2.0151515
CCC(C)C(C)=O,,DIPPR,7,40.301506,3.622436
CCC(C)C(C)CC,,DIPPR,8,39.69436,3.0555668
CCC(C)C1CCCCC1,,DIPPR,10,47.150364,3.7360864
CCC(C)C=O,,DIPPR,6,39.590923,3.603005
CCC(C)CC(C)(C)CC,,DIPPR,10,44.235386,3.7734632
CCC(C)CC(C)C,,DIPPR,8,38.194748,2.4350743
CCC(C)CCO,,DIPPR,7,52.79829,4.525789
CCC(C)CO,,DIPPR,6,49.137688,3.783873
CCC(C)O,,DIPPR,5,45.036354,3.1381354
CCC(C)OC,,DIPPR,6,33.13557,2.5419497
CCC(C)OC(C)=O,,DIPPR,8,41.362286,2.7462444
CCC(C)OC(C)CC,,DIPPR,9,40.351074,3.241324
CCC(C)c1ccccc1,,DIPPR,10,45.50385,2.4398398
CCC(CC)(CC)CC,,DIPPR,9,41.98727,3.4586873
CCC(CC)C(=O)O,,DIPPR,8,64.44459,6.539521
CCC(CC)CO,,DIPPR,7,50.974094,3.894641
CCC(CO)(CO)CO,,DIPPR,9,80.020836,9.191192
CCC(O)C(C)CO,,DIPPR,8,70.7145,7.181691
CCC(O)CC,,DIPPR,6,48.674145,3.6498208
CCC(O)CO,,DIPPR,6,62.550777,5.5444903
CCC(O)c1ccccc1,,DIPPR,10,57.41799,4.0307
CCC/C=C/CCC,,DIPPR,8,41.35541,3.6921635
CCC/C=C\CCC,,DIPPR,8,41.355415,3.6921635
CCC1(CC)CCCCC1,,DIPPR,10,46.275726,3.4779868
CCC1=CCCCC1,,DIPPR,8,41.860954,3.3102164
CCC1CCCC1,,DIPPR,7,36.80572,2.392859
CCC1CCCCC1,,DIPPR,8,41.439335,2.869903
CCC1CO1,,DIPPR,5,34.11072,2.834845
CCC=C(C)C=O,,DIPPR,7,46.514446,4.808218
CCC=O,,DIPPR,4,31.856344,3.3609524
CCCC(=O)CCC,,DIPPR,8,45.23268,4.1238475
CCCC(=O)O,,DIPPR,6,54.581806,5.3126698
CCCC(=O)OC,,DIPPR,7,39.97547,2.2770538
CCCC(=O)OC(=O)CCC,,DIPPR,11,58.677353,4.2342257
CCCC(=O)OCC,,DIPPR,8,43.722393,2.2155814
CCCC(C)=O,,DIPPR,6,37.607296,3.4932222
CCCC(C)C(C)C,,DIPPR,8,39.733845,2.5275865
CCCC(C)CCC,,DIPPR,8,40.914402,2.7225842
CCCC(C)CO,,DIPPR,7,52.532513,4.1300073
CCCC(C)O,,DIPPR,6,49.005558,3.6868653
CCCC(CC)CC,,DIPPR,8,39.944347,2.348926
CCCC(O)CC,,DIPPR,7,51.215614,4.116335
CCCC1CCCCC1,,DIPPR,9,45.679092,3.5210657
CCCC=C(C=O)CC,,DIPPR,9,50.880226,4.493385
CCCC=O,,DIPPR,5,36.404438,4.0599494
CCCCC,,DIPPR,5,30.10633,0.6193918
CCCCC(=O)CC,,DIPPR,8,45.073963,3.7848115
CCCCC(=O)CCCC,,DIPPR,10,52.54758,3.6899676
CCCCC(=O)O,,DIPPR,7,54.35755,4.857603
CCCCC(C)=O,,DIPPR,7,41.299862,3.712329
CCCCC(C)C,,DIPPR,7,36.905933,1.0840102
CCCCC(C)C(=O)O,,DIPPR,9,62.215622,5.9314585
CCCCC(C)CC,,DIPPR,8,40.84519,2.6279683
CCCCC(C)CCC,,DIPPR,9,44.017597,2.7648897
CCCCC(C)CCCC,,DIPPR,10,47.603962,2.7350006
CCCCC(C)CO,,DIPPR,8,55.21765,4.4326506
CCCCC(C)O,,DIPPR,7,49.95675,3.5559506
CCCCC(C=O)CC,,DIPPR,9,50.08769,4.1036553
CCCCC(CC)C(=O)O,,DIPPR,10,65.9706,6.2712717
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,,DIPPR,28,87.23801,9.111267
CCCCC(CC)CC,,DIPPR,9,43.16567,2.814392
CCCCC(CC)CO,,DIPPR,9,56.422726,4.4938564
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,DIPPR,26,80.54865,8.121937
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,,DIPPR,28,78.62659,6.930608
CCCCC(CC)COC(C)=O,,DIPPR,12,55.69007,4.152599
CCCCC(CC)COCCO,,DIPPR,12,63.665478,5.675472
CCCCC(O)CC,,DIPPR,8,51.591637,3.8161259
CCCCC1CCCCC1,,DIPPR,10,49.012127,3.809019
CCCCC=O,,DIPPR,6,38.173264,3.6907911
CCCCCC,,DIPPR,6,34.02646,0.8030585
CCCCCC(=O)CCCCC,,DIPPR,12,60.59341,4.6692505
CCCCCC(=O)O,,DIPPR,8,59.11975,5.481148
CCCCCC(C)(C)C,,DIPPR,9,42.080772,2.1086836
CCCCCC(C)=O,,DIPPR,8,46.11293,4.197979
CCCCCC(C)C,,DIPPR,8,41.279232,1.8003744
CCCCCC(C)CC,,DIPPR,9,44.259872,2.778699
CCCCCC(C)CCC,,DIPPR,10,46.9189,2.5350175
CCCCCC(C)O,,DIPPR,8,54.654938,4.204774
CCCCCC=O,,DIPPR,7,43.21163,4.0049253
CCCCCCC,,DIPPR,7,38.139954,0.995785
CCCCCCC(=O)CC,,DIPPR,10,53.44252,4.314944
CCCCCCC(=O)O,,DIPPR,9,63.922405,6.0373435
CCCCCCC(C)=O,,DIPPR,9,51.390823,4.2458444
CCCCCCC(C)C,,DIPPR,9,44.82045,2.153781
CCCCCCC(C)CC,,DIPPR,10,48.054356,2.783041
CCCCCCC(C)O,,DIPPR,9,58.15391,4.534535
CCCCCCC(CO)CCCC,,DIPPR,13,68.109436,5.518661
CCCCCCC=O,,DIPPR,8,48.326927,4.611131
CCCCCCCC,,DIPPR,8,41.33908,1.1456712
CCCCCCCC(=O)O,,DIPPR,10,66.56225,6.248351
CCCCCCCC(C)=O,,DIPPR,10,56.272263,4.4773583
CCCCCCCC(C)C,,DIPPR,10,48.39939,2.396699
CCCCCCCC(C)O,,DIPPR,10,60.719376,4.6999764
CCCCCCCC/C=C\CCCCCCCC(=O)O,,DIPPR,20,84.6598,9.96915
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,,DIPPR,63,78.81191,11.323601
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)CO,,DIPPR,25,103.57792,13.675941
CCCCCCCC=O,,DIPPR,9,51.994358,4.4687314
CCCCCCCCC,,DIPPR,9,45.010647,1.4471024
CCCCCCCCC(=O)O,,DIPPR,11,67.96336,6.27813
CCCCCCCCC=O,,DIPPR,10,55.29812,4.577441
CCCCCCCCCC,,DIPPR,10,48.344284,1.8224648
