DIPPR ID,Cp_liq_298K,smiles,temperature,total_atoms,predicted,predicted_stddev
2373,1886.418906201375,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,298.15,32,117.70837,17.316584
1379,1900.480725194472,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,298.15,34,119.966446,18.072397
571,1951.500708819625,CCCCCCCCCCCc1ccccc1,298.15,17,84.665184,9.9466095
1136,2343.7590105402783,CCCCCCCCCCO,298.15,11,73.562584,8.175952
1378,1886.4118098112508,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,298.15,32,117.59348,17.247452
1310,2151.557879866164,CCCCCCCCCCOC=O,298.15,13,69.66348,7.9040956
712,1714.6177824908907,CCCCCCCCCCc1cccc2ccccc12,298.15,20,103.07359,16.991636
1356,1852.1892620912151,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,298.15,28,112.12794,15.798388
1374,2026.9327194497769,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,298.15,30,115.14971,16.445696
1309,2142.972118297013,CCCCCCCCCOC=O,298.15,12,65.069214,7.1276608
711,1698.687718780732,CCCCCCCCCc1cccc2ccccc12,298.15,19,100.01238,16.135767
1132,2368.394550043909,CCCCCCCCO,298.15,9,67.81981,7.0185976
3378,1978.9023323518904,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,298.15,26,111.565544,15.894503
1308,2138.723735542813,CCCCCCCCOC=O,298.15,11,60.928307,6.309554
1125,2401.209671811982,CCCCCCCO,298.15,8,62.887806,6.276837
1372,2031.253761093545,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,298.15,26,108.6283,15.124658
2308,2127.5737055853115,CCCCCCCOC=O,298.15,10,56.832813,5.658347
1114,2370.365336530651,CCCCCCO,298.15,7,57.44503,5.316384
2379,1952.9281785379503,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,298.15,22,102.94087,13.518829
1363,1970.8127631709303,CCCCCCOC(C)=O,298.15,10,54.570774,4.162093
2307,2119.053695883445,CCCCCCOC=O,298.15,9,52.170624,4.861127
1412,2114.723182688232,CCCCCCOCCCCCC,298.15,13,63.780903,5.514448
3865,2212.857524560659,CCCCCCOCCO,298.15,10,66.44953,7.286804
3866,2171.441952429591,CCCCCCOCCOCCO,298.15,13,79.93116,10.153412
7880,2129.495777321828,CCCCCCOCCOCCOCCO,298.15,16,96.368195,13.457462
